Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Indiana Pacers,60,240.0,47.0,92.5,0.508,13.6,35.8,0.380,33.4,56.7,0.589,16.3,20.9,0.781,10.0,31.0,41.0,31.1,7.8,5.8,13.4,21.7,123.9
Milwaukee Bucks,59,241.3,44.0,89.0,0.495,14.3,37.9,0.377,29.8,51.1,0.582,19.5,25.3,0.770,9.4,34.9,44.2,26.8,6.9,5.2,12.9,19.9,121.8
Oklahoma City Thunder,58,241.7,44.8,89.3,0.502,13.5,34.0,0.398,31.3,55.3,0.566,18.1,21.8,0.830,8.7,33.1,41.7,27.2,8.1,6.8,12.6,19.5,121.3
Atlanta Hawks,58,241.7,43.6,93.7,0.466,13.7,37.9,0.360,30.0,55.8,0.537,20.3,24.9,0.813,13.1,32.1,45.2,26.3,7.6,4.5,13.4,18.6,121.2
Boston Celtics,58,242.2,43.5,89.7,0.484,16.1,42.3,0.382,27.3,47.5,0.576,17.6,21.7,0.810,10.6,36.5,47.1,26.2,6.5,6.6,12.5,17.0,120.7
Golden State Warriors,57,242.6,43.5,92.0,0.473,15.1,39.8,0.380,28.4,52.1,0.544,17.1,21.7,0.787,12.4,34.3,46.6,29.2,6.7,4.2,14.5,20.2,119.2
Dallas Mavericks,59,240.0,43.2,89.8,0.480,15.1,40.1,0.375,28.1,49.7,0.565,17.5,23.2,0.755,9.8,32.3,42.1,25.4,6.8,4.6,12.4,18.8,118.9
Sacramento Kings,58,242.2,43.9,90.9,0.483,14.7,39.6,0.371,29.3,51.3,0.570,15.6,21.3,0.731,10.4,32.8,43.2,28.7,7.3,4.0,13.4,19.8,118.1
Utah Jazz,59,242.1,42.6,90.9,0.469,13.3,37.2,0.357,29.4,53.7,0.547,19.1,23.2,0.824,12.8,33.8,46.6,28.4,6.8,5.9,15.9,19.2,117.7
Phoenix Suns,58,241.3,42.6,85.8,0.496,11.9,31.6,0.378,30.6,54.2,0.565,20.4,25.2,0.810,10.0,33.6,43.6,26.7,7.6,6.1,14.8,18.4,117.5
Los Angeles Clippers,57,240.4,42.9,87.2,0.492,13.0,33.2,0.390,29.9,54.0,0.555,18.7,22.9,0.818,10.2,32.7,42.9,25.9,8.0,5.0,13.2,19.0,117.5
Philadelphia 76ers,58,240.9,42.2,89.7,0.470,11.4,31.9,0.359,30.7,57.8,0.531,21.2,25.6,0.830,11.0,31.9,42.9,24.7,8.6,5.8,11.9,20.9,117.0
Los Angeles Lakers,60,241.7,43.5,87.7,0.496,11.4,30.9,0.370,32.0,56.8,0.564,18.6,24.0,0.773,8.2,34.4,42.5,28.5,7.8,5.6,13.8,16.2,116.9
New Orleans Pelicans,60,240.4,42.8,88.1,0.486,12.2,32.3,0.378,30.6,55.7,0.549,18.2,23.7,0.765,10.9,33.4,44.4,27.0,8.3,4.9,13.3,19.1,116.0
Cleveland Cavaliers,58,241.7,42.6,88.2,0.483,13.4,36.9,0.364,29.2,51.4,0.568,16.1,21.0,0.766,10.3,34.3,44.7,27.7,7.4,4.9,13.5,18.4,114.7
Denver Nuggets,59,240.0,43.8,88.9,0.493,11.5,31.3,0.367,32.3,57.6,0.561,15.5,20.5,0.757,11.0,33.4,44.4,29.1,6.9,5.4,12.7,18.4,114.6
Toronto Raptors,59,241.7,43.1,90.2,0.478,11.7,32.7,0.359,31.4,57.5,0.546,16.6,22.2,0.749,11.3,32.4,43.7,29.4,7.5,4.9,13.4,18.5,114.6
Washington Wizards,58,240.0,43.2,91.7,0.471,12.2,34.9,0.349,31.0,56.9,0.545,15.8,20.7,0.763,9.4,31.4,40.8,28.1,7.8,5.2,14.0,19.9,114.3
New York Knicks,59,240.0,41.3,88.8,0.465,13.1,35.5,0.368,28.3,53.4,0.530,18.1,23.0,0.785,12.8,32.8,45.6,23.8,7.3,3.9,13.3,17.9,113.8
Minnesota Timberwolves,59,241.3,41.3,84.6,0.488,12.6,32.2,0.391,28.7,52.4,0.547,18.4,23.4,0.785,9.2,34.8,44.1,26.4,7.6,6.0,14.7,19.3,113.6
Houston Rockets,58,242.2,41.2,90.1,0.458,12.1,34.7,0.350,29.1,55.4,0.526,18.2,23.8,0.767,11.2,34.7,45.9,24.7,7.4,4.5,13.2,21.2,112.8
Detroit Pistons,58,241.3,42.2,89.0,0.474,11.3,31.1,0.364,30.8,57.9,0.533,17.0,22.0,0.773,11.0,32.5,43.6,26.4,6.0,4.9,15.5,21.8,112.7
San Antonio Spurs,59,240.8,41.9,91.2,0.460,12.5,36.3,0.343,29.5,54.9,0.537,15.6,20.0,0.779,10.3,33.0,43.3,29.6,7.4,6.2,14.9,17.7,111.9
Chicago Bulls,59,244.2,41.7,89.8,0.464,11.6,32.7,0.355,30.1,57.1,0.526,16.9,21.2,0.795,11.4,32.6,44.0,24.6,7.8,5.1,12.4,19.1,111.9
Brooklyn Nets,58,241.3,41.4,90.6,0.457,13.6,37.5,0.362,27.8,53.1,0.523,15.6,20.6,0.758,11.6,32.8,44.4,26.5,6.9,5.2,12.8,19.3,111.9
Orlando Magic,59,241.7,40.7,85.8,0.474,11.0,31.0,0.354,29.7,54.8,0.542,19.1,25.3,0.754,11.0,31.8,42.8,24.8,8.2,5.3,14.7,20.9,111.4
Miami Heat,58,240.4,39.7,85.5,0.465,12.4,33.2,0.375,27.3,52.3,0.521,18.7,22.9,0.818,9.6,32.5,42.1,25.9,7.4,3.4,13.1,17.9,110.6
Charlotte Hornets,58,240.9,40.4,88.4,0.457,12.0,33.3,0.360,28.4,55.1,0.516,14.8,18.8,0.785,10.0,31.1,41.1,24.8,6.8,4.7,13.9,18.9,107.7
Portland Trail Blazers,57,242.6,39.2,89.5,0.438,11.5,33.2,0.348,27.6,56.3,0.491,17.4,21.9,0.794,12.2,29.5,41.7,22.6,7.9,4.5,14.9,20.4,107.2
Memphis Grizzlies,59,240.8,38.6,87.9,0.439,13.5,38.8,0.346,25.1,49.1,0.512,15.8,20.7,0.763,10.0,31.8,41.8,25.2,7.8,6.1,14.6,19.5,106.4
